iter	Passed	Remaining
675	20578	9862
676	20605	9830
677	20633	9799
678	20662	9768
679	20690	9736
680	20721	9706
681	20751	9675
682	20774	9642
683	20801	9610
684	20830	9579
685	20858	9547
686	20889	9517
687	20919	9486
688	20949	9456
689	20974	9423
690	21002	9391
691	21029	9359
692	21057	9328
693	21085	9296
694	21115	9266
695	21138	9232
696	21161	9199
697	21189	9167
698	21215	9135
699	21236	9101
700	21261	9068
701	21285	9035
702	21311	9003
703	21332	8969
704	21356	8936
705	21381	8904
706	21403	8870
707	21429	8837
708	21453	8805
709	21479	8773
710	21503	8740
711	21528	8708
712	21556	8676
713	21584	8645
714	21612	8614
715	21636	8581
716	21662	8550
717	21691	8519
718	21717	8487
719	21747	8457
720	21775	8426
721	21799	8393
722	21826	8362
723	21855	8331
724	21882	8300
725	21910	8269
726	21938	8238
727	21962	8205
728	21991	8175
729	22019	8144
730	22048	8113
731	22078	8083
732	22108	8053
733	22131	8020
734	22158	7989
735	22186	7958
736	22213	7926
737	22242	7896
738	22269	7865
739	22294	7833
740	22319	7801
741	22344	7769
742	22371	7738
743	22396	7706
744	22422	7674
745	22447	7642
746	22473	7611
747	22502	7580
748	22523	7547
749	22548	7516
750	22574	7484
751	22602	7454
752	22624	7421
753	22648	7389
754	22675	7358
755	22703	7327
756	22727	7295
757	22753	7264
758	22782	7234
759	22811	7203
760	22840	7173
761	22870	7143
762	22896	7111
763	22922	7080
764	22949	7049
765	22978	7019
766	23008	6989
767	23036	6958
768	23060	6927
769	23086	6895
770	23112	6864
771	23139	6834
772	23168	6803
773	23195	6772
774	23219	6741
775	23246	6710
776	23273	6679
777	23297	6648
778	23318	6615
779	23342	6583
780	23367	6552
781	23388	6520
782	23413	6488
783	23438	6457
784	23464	6426
785	23487	6394
786	23511	6363
787	23534	6331
788	23559	6300
789	23580	6268
790	23604	6236
791	23631	6206
792	23652	6174
793	23677	6143
794	23704	6112
795	23732	6082
796	23758	6051
797	23782	6020
798	23808	5989
799	23835	5958
800	23864	5928
801	23890	5898
802	23913	5866
803	23942	5836
804	23970	5806
805	23998	5776
806	24025	5745
807	24049	5714
808	24077	5684
809	24103	5653
810	24132	5624
811	24162	5594
812	24191	5564
813	24222	5534
814	24254	5505
815	24279	5474
816	24311	5445
817	24334	5414
818	24363	5384
819	24392	5354
820	24415	5323
821	24440	5292
822	24469	5262
823	24494	5231
824	24522	5201
825	24551	5171
826	24573	5140
827	24600	5110
828	24627	5079
829	24657	5050
830	24686	5020
831	24719	4991
832	24745	4960
833	24773	4930
834	24801	4900
835	24830	4871
836	24859	4841
837	24890	4811
838	24920	4782
839	24949	4752
840	24974	4721
841	24999	4691
842	25025	4660
843	25052	4630
844	25076	4599
845	25102	4569
846	25131	4539
847	25159	4509
848	25187	4479
849	25216	4449
850	25242	4419
851	25264	4388
852	25288	4357
853	25313	4327
854	25334	4296
855	25359	4266
856	25385	4235
857	25412	4205
858	25434	4174
859	25459	4144
860	25483	4114
861	25510	4084
862	25533	4053
863	25559	4023
864	25585	3993
865	25611	3962
866	25634	3932
867	25658	3901
868	25685	3872
869	25715	3842
870	25746	3813
871	25777	3783
872	25802	3753
873	25829	3723
874	25857	3693
875	25885	3664
876	25915	3634
877	25946	3605
878	25974	3575
879	25998	3545
880	26026	3515
881	26054	3485
882	26083	3456
883	26111	3426
884	26139	3396
885	26162	3366
886	26186	3336
887	26213	3306
888	26242	3276
889	26264	3246
890	26288	3216
891	26315	3186
892	26340	3156
893	26363	3125
894	26389	3095
895	26413	3065
896	26439	3035
897	26461	3005
898	26485	2975
899	26512	2945
900	26542	2916
901	26573	2887
902	26605	2857
903	26640	2829
904	26675	2800
905	26712	2771
906	26745	2742
907	26778	2713
908	26812	2684
909	26842	2654
910	26870	2625
911	26900	2595
912	26924	2565
913	26954	2536
914	26980	2506
915	27012	2477
916	27043	2447
917	27074	2418
918	27104	2388
919	27133	2359
920	27158	2329
921	27185	2299
922	27214	2270
923	27247	2241
924	27284	2212
925	27334	2184
926	27366	2155
927	27388	2124
928	27414	2095
929	27438	2065
930	27467	2035
931	27492	2005
932	27514	1975
933	27537	1945
934	27563	1916
935	27583	1886
936	27609	1856
937	27631	1826
938	27653	1796
939	27682	1766
940	27707	1737
941	27733	1707
942	27762	1678
943	27787	1648
944	27814	1618
945	27844	1589
946	27870	1559
947	27901	1530
948	27931	1501
949	27963	1471
950	27994	1442
951	28025	1413
952	28051	1383
953	28079	1353
954	28110	1324
955	28139	1295
956	28175	1265
957	28206	1236
958	28239	1207
959	28274	1178
960	28308	1148
961	28339	1119
962	28371	1090
963	28400	1060
964	28428	1031
965	28459	1001
966	28491	972
967	28523	942
968	28548	913
969	28578	883
970	28606	854
971	28634	824
972	28662	795
973	28691	765
974	28721	736
975	28747	706
976	28776	677
977	28807	648
978	28840	618
979	28871	589
980	28901	559
981	28932	530
982	28962	500
983	28992	471
984	29026	442
985	29062	412
986	29093	383
987	29125	353
988	29157	324
989	29187	294
990	29217	265
991	29247	235
992	29275	206
993	29305	176
994	29332	147
995	29359	117
996	29388	88
997	29417	58
998	29440	29
999	29466	0
